Date,news,output
22-11-2020,"Gujarat: Pandemic powers IT boom, hiring resumes in sector",1
25-11-2020,"Karvy Broking expelled by NSE, BSE to do same",1
25-11-2020,"Nifty tops 13k, sensex 44.5k for the first time",2
25-11-2020,Chandrasekaran to chair Tata Chemical board,1
25-11-2020,"Nifty tops 13K, sensex 44.5K for the first time",2
26-11-2020,"Sensex dives 1,000 pts from lifetime high",2
26-11-2020,Ventures under Tata Industries may be shifted to other group companies,1
26-11-2020,"BSE too expels Karvy Stock Broking, says investors can seek help",1
27-11-2020,Environment regulations biggest challenge in achieving 300 MT steel: Tata Steel MD,1
28-11-2020,NSE turnover hits record Rs 1.5L cr on MSCI’s rejig,2
30-11-2020,US billionaires gained $1 trillion since pandemic started,1
01-12-2020,"Covid pandemic cuts access to drugs, hits HIV treatment in Central India",1
02-12-2020,"Sensex jumps 506 points to new closing high of 44,655",2
02-12-2020,"Pandemic e-tail push creates 3 lakh delivery, supply chain jobs",1
03-12-2020,Lucknow civic body bonds listed on BSE,1
05-12-2020,"Smaller hotels feel pandemic pinch, may not open doors",1
05-12-2020,Sensex breaches 45k for 1st time on foreign fund flows,2
08-12-2020,Tata chairman Chandra buys group cos’ stocks,1
08-12-2020,"Sensex, Nifty scale new high",2
08-12-2020,Rajasthan anganwadi centres added 8 lakh beneficiaries during pandemic,1
09-12-2020,Tractor sales overtake automobile numbers in Gujarat,2
09-12-2020,Indian tech cos attracted $38 bn amid pandemic,1
10-12-2020,Sensex races past 46k on back of foreign funds,2
11-12-2020,Tata Sons reject Shapoorji Pallonji's share-swap offer,1
15-12-2020,Victory beats go missing as police enforce pandemic norms,1
16-12-2020,15 startups to work on solutions for tackling pandemic challenges,1
16-12-2020,Zenoti 9th co to hit $1bn valuation amid pandemic,1
17-12-2020,Tata golf tourney to begin amid Covid norms,1
17-12-2020,Celebrations mark 50th year of 1971 Indo-Pak war at Longewala,1
17-12-2020,"Sensex nears record high of 47,000 pts",2
18-12-2020,Dip in property registrations during pandemic hit Telangana’s revenue hard,1
18-12-2020,Brazil’s bus co Marcopolo exits Tata JV,0
18-12-2020,Sensex nears 47k on record buying by foreign investors,2
19-12-2020,Sensex hits 47k for 1st time as eco hobbles to recovery,2
20-12-2020,Uttar Pradesh ranks highest in digital transactions during pandemic,1
21-12-2020,AirAsia to own only 13% in Tata JV,1
21-12-2020,China tensions trip General Motors unit sale,1
22-12-2020,"Virus variant: Sensex tanks 1,407 points",0
23-12-2020,Pandemic pushes sales of 1 crore health covers,1
23-12-2020,Sensex regains 46k in pullback rally,2
24-12-2020,Pandemic push to domestic tourism as Bengal gives in to intra-state wanderlust,1
25-12-2020,Pandemic on wane? 7-day average of daily Covid cases falls below 25k,1
26-12-2020,Bengal bags Rs 7kcr biz proposals in pandemic yr,1
28-12-2020,Karnataka: Above-par turnout in rural areas amid pandemic fear surprises all,1
28-12-2020,"Trump signs pandemic aid and spending bill, averting government shutdown",1
29-12-2020,Tata Trusts can enjoy tax exemption: ITAT,2
29-12-2020,Sensex ends above 47k pts for 1st time,2
29-12-2020,RBI deputy guv argues for 4% cap on inflation,1
29-12-2020,Pandemic affected mental health of youth more than seniors: Expert,1
30-12-2020,Pandemic hard brakes auto demand in Gujarat,1
30-12-2020,"Finance, IT stocks take sensex to record levels",2
30-12-2020,AirAsia to sell 33% in local JV to partner Tata,2
31-12-2020,"Pandemic hits NCR realty sector, housing sales fall by 51%: Survey",1
01-01-2021,"Nifty scales 14k, sensex nears 48k",2
01-01-2021,Tax tribunal drops remark against Mistry in Tata order,1
01-01-2021,Highs & lows of Nashik’s Covid pandemic fight in 2020,1
01-01-2021,Army restores war hero’s damaged grave,1
02-01-2021,Housing inflation in urban Gujarat down by 45%,1
03-01-2021,"Just 4% drop in Indian students in US univs, pandemic delayed plans",1
04-01-2021,Startups seek Jharkhand govt support to stay afloat during pandemic,1
04-01-2021,Number of cybercrime cases doubled in Pune in pandemic year,1
04-01-2021,Jaguar driven by doctor kills pedestrian in Udupi,1
05-01-2021,Diluted LRS helping Telangana fill its coffers left dry by pandemic,1
05-01-2021,"Sensex scales 48k for 1st time on GST collections, FPI buying, vaccine okays",2
06-01-2021,Sensex hits new closing high for 8th straight day,2
07-01-2021,Sensex ends 10-day rally after new high,2
07-01-2021,"As pandemic strains marital ties, divorce rate shoots up",1
08-01-2021,Jail inmates kin got Rs 24 lakh aid during pandemic year,1
09-01-2021,"Kolkata: Chill takes a break, makes viruses more active in pandemic season",1
09-01-2021,"Sensex nears 49k on Biden confirmation, foreign fund buying",2
11-01-2021,Pandemic fuels demand for relocating to Uttarakhand hills,1
12-01-2021,"Sensex races past 49K mark as IT, financials rally",2
12-01-2021,Sensex surges from 48k to 49k in 5 sessions on foreign fund buying,2
15-01-2021,Sensex may hit 50k today as US stocks rally on Biden plan,2
15-01-2021,Biting cold & pandemic fail to dampen spirits on Day 1,1
15-01-2021,Wholesale inflation eases to 4-mth low at 1.2% in December,2
15-01-2021,Sensex may hit 50k today as US stocks rally on Biden plan,2
16-01-2021,Sensex swings nearly 900 pts on global cues,0
19-01-2021,9-year-old legal war hots up: Government authorises Antrix to file winding up plea against Devas in tribunal,1
19-01-2021,Sensex slips 470 pts on new infections in China,0
20-01-2021,Sensex jumps 834 pts on bigger US stimulus hopes,2
21-01-2021,Pandemic brings Iffi expenses down by 50%,1
21-01-2021,Tata Tech focus on electric mobility,1
21-01-2021,Home loan rate war leads to Banks eat into NBFCs market share,1
21-01-2021,"Sensex nears 50,000 on global cues",2
22-01-2021,"Sensexceptional: BSE index breaches 50,000 mark for first time",2
23-01-2021,Sensex dives 746 pts after profit-booking,0
23-01-2021,Tata Power warns about fake bulbs,1
25-01-2021,Cyber city comes alive as runners hit the streets amid pandemic,1
25-01-2021,Mumbai: Republic Day set to unfold with pandemic protocols on Tuesday,1
26-01-2021,"Sensex tanks 531 points on China feud, RIL’s 5% drop",0
26-01-2021,Telecom cables trigger Centre-state turf war,1
27-01-2021,"Sensex dives 938 points amid selloff across all sectors; Nifty ends at 13,968",0
28-01-2021,"Sensex dives 938 pts over profit-booking, FPI selloff",0
29-01-2021,"Hit by pandemic & rising fuel rates, transporters seek relief in Union budget",1
29-01-2021,"Sensex slides for 5th day in a row, loses 536 points",0
30-01-2021,"Tata Motors Q3 net jumps 65% to Rs 3,222 crore on JLR",2
30-01-2021,"Volatility on Street ahead of Budget, bear grip on sensex",0
30-01-2021,"CPI inflation shoots up to 8.5%, follows national trend",0
30-01-2021,Swedish co SSAB drops plans to buy Tata Steel’s Dutch biz,1
01-02-2021,"Pandemic effect? 66% dip in PhD, MPhil degrees at Mumbai University",1
01-02-2021,Objection to loud party turns south Kolkata locality into war zone,1
02-02-2021,"Sensex dons best B-day suit, posts 2nd-highest rise ever of 2,315 points",2
03-02-2021,Budget bull run helps sensex breach 50k for the 2nd time,2
03-02-2021,Tata Consumer Products buys cereal co Kottaram Agro Foods,1
05-02-2021,"Sensex hits high of 50,688, BSE mcap crosses Rs 200L cr",2
06-02-2021,"Wanted fugitive, three others shot dead in Churu gang war",1
06-02-2021,Sensex sees best B-week in 10 yrs with 4.4k pt rise,2
06-02-2021,Edu minister for online exams for varsities till pandemic ends,1
09-02-2021,Maharashtra: Shiv Sena & BJP continue war of words over CM’s post,1
09-02-2021,"Sensex surges for 6th day in row, ends above 51k pts",2
10-02-2021,US soldier in war exercise tests positive for Covid-19,1
10-02-2021,Tata Motors gets show-cause notice on EV ‘performance’,0
10-02-2021,Tata Steel’s Q3 operating profit hits record Rs 9.5k cr,2
11-02-2021,CEO of Tata Starbucks to step down,0
12-02-2021,Startup jobs grew 14% during the pandemic year: Govt data,1
13-02-2021,Tata Motors gets Daimler veteran Llistosella as CEO,1
13-02-2021,Pandemic delays private school admissions in Visakhapatnam,1
15-02-2021,"Platform ticket prices hiked by 300% in Ranchi, Tata and Hatia railway stations",1
16-02-2021,CSR funds for Tata hosp’s pediatric cancer patients drop 75%,1
16-02-2021,Mumbai: CSR for Tata hospital’s pediatric cancer patients plunges 75%,1
17-02-2021,Price war leads to cracks in the construction sector,1
17-02-2021,"GMCH Trauma Centre performed many surgeries, reduced death rate in pandemic yr",1
17-02-2021,Tata Group seek CCI nod to acquire Bigbasket,2
17-02-2021,Inflation & fuel price rise hit Bhopalis hard,0
18-02-2021,Rising bond yields weigh on sensex,1
18-02-2021,"India, China came close to war last year, says Lt-Gen",1
19-02-2021,Stay alert as pandemic hasn’t ended yet: Govt,1
19-02-2021,"Sensex dips for 3rd day on yields, crude",0
20-02-2021,"Sensex slides 4th time in row, closes below 51K",0
22-02-2021,"PMC, PCMC chiefs issue orders formalising fresh pandemic curbs",1
22-02-2021,Tata Chemicals gets ITAT relief in logo fee case,1
23-02-2021,"Sensex tanks 1,145pts on rising yield, crude",0
26-02-2021,"Congress marches against Centre’s three farm laws, inflation",1
27-02-2021,Tamil Nadu: Polling time increased by an hour considering pandemic,1
27-02-2021,Need same inflation target for 5 more years: RBI,1
27-02-2021,"Sensex tanks 1,939 pts as high yields take global toll",0
02-03-2021,"NSE glitch will cost us, says FM; Sebi meet today",1
02-03-2021,"NSE glitch will cost us, says finance minister; Sebi meet today",1
04-03-2021,Tata Sons chairman thanks staff & their families for standing by co during Covid,1
04-03-2021,"Chennai and suburbs lose 1,500 eateries to pandemic",1
04-03-2021,"Sensex nears life high after a 1,148-point rally",2
05-03-2021,Pandemic blow: Telangana’s tax income likely to take a hit,1
07-03-2021,E-mobility startup eyes raising Rs 5 crore; Its sales double amid pandemic,1
08-03-2021,"Dist faces second wave, weekly +ve cases at 5th highest in pandemic",0
11-03-2021,Dow hits record high as inflation fears recede after data,0
11-03-2021,"4,415 died, over 1.58L infected in one year of Covid-19 pandemic in district",0
11-03-2021,Class XII students write first term exam since pandemic,1
11-03-2021,Pandemic proved to be a catalyst for digitalization of classrooms,1
11-03-2021,"BJP, AAP MLAs in a war of words over city’s Covid fight",1
12-03-2021,Pandemic turns India into Edtech capital of the world,1
13-03-2021,"Retail inflation rises to 3-month high in February, IIP dips 1.6% in January",0
14-03-2021,"Tourism sector in Karnataka lost Rs 5,000 crore every month because of pandemic disruption",1
15-03-2021,The pandemic accelerated car sales in Bengaluru,2
16-03-2021,Citi’s Mauritius arm to sell over 1.6% in NSE,1
16-03-2021,Tata acquires stake in Pritish Nandy Communications,2
17-03-2021,"Dist records 2,587 +ve cases on Tue, highest ever in a day in pandemic",0
18-03-2021,Tatas’ stake in Tata Communications will rise to 59%,2
18-03-2021,Covaxin becomes primary ammo in region’s battle against pandemic,1
19-03-2021,"Covid, yields sink sensex by 2k pts in just 5 sessions",0
19-03-2021,Businesses take pandemic challenge head on,1
19-03-2021,"Mumbai, Maharashtra both log most daily cases since pandemic began",0
20-03-2021,Indian Ensemble's first show post pandemic combines fiction and reality,1
20-03-2021,"Failure at NSE clearing arm led to February outage, says RBI",1
20-03-2021,Tata Motors CEO-designate opts out,1
20-03-2021,Symbiosis law pupil wins Tata Crucible quiz,1
23-03-2021,"Telecom service, hardware failure led to outage: NSE",1
24-03-2021,"From crash of record 4k pts last year, sensex gains 95%, m-cap 2x",2
24-03-2021,"Maharashtra: More child marriages, rise in perversity in pandemic",1
24-03-2021,"AAP, BJP in war of words over drinking age",1
25-03-2021,Pandemic shrank Ahmedabad’s budget for the first time,0
26-03-2021,"‘2nd wave of pandemic has started, recent surge not temporary blip’",0
26-03-2021,Lukewarm response to Cong procession against inflation,1
26-03-2021,India Inc’s foreign holding at record high: NSE report,1
26-03-2021,Rising Covid cases pull sensex down 740 points,0
28-03-2021,Med-tech startup from Ahmedabad doubles revenues in the pandemic year,1
29-03-2021,"20% Covid +ve patients die in GMCH, IGGMCH in 12-month pandemic",1
29-03-2021,Nagpur: Automobile spare parts worth Rs 7 lakh gutted in fire at 3 workshops,1
31-03-2021,"Sensex soars 1,128 pts over earnings, US vaccine rollout",2
31-03-2021,Holi celebrations remain subdued amid Covid pandemic,1
01-04-2021,"From plunge to peak, a turbulent fiscal for sensex",0
03-04-2021,Maharashtra: Vax drive goes to Tata Motors’ Pune campus,1
04-04-2021,Lucknow: Second wave of Covid-19 pandemic 3.5 times faster than 2020 surge,0
04-04-2021,"Amid surge in cases, Tata hosp to increase Cov infra facilities",1
04-04-2021,Mumbai: Tata Memorial seeks blood donors as banks dry up,1
04-04-2021,"Despite pandemic heat, mining royalty mop-up for FY21 shoots up 8% at Rs 4,900 crore",1
05-04-2021,Mistry’s cousin relieved as SC says Tata did him no favours,1
07-04-2021,Covid-19: Cluster infections key to 2nd wave of the pandemic,1
08-04-2021,Sensex rallies 460 pts as D-St cheers policy,2
10-04-2021,"Action required on war footing, says high court",1
13-04-2021,Bihar: Pandemic not a concern for agricultural workers in rural areas,1
13-04-2021,"Sensex sinks 1,708 pts on Covid surge, lockdown fears",0
13-04-2021,Bihar: Offices function with 33% workforce amid pandemic,1
16-04-2021,Wholesale inflation jumps to 8-year high,0
16-04-2021,Pandemic doubles diamond certification period,1
17-04-2021,Offer withdrawal: Tata Motors pays damages to CEO-designate,0
17-04-2021,"Tata Sons exits BPM biz, offloads Conneqt stake",1
19-04-2021,"Will add 8,000 oxygen beds in 10 days on a war footing: Gujarat CM",1
20-04-2021,Work-from-home schedule returns as private firms in Kolkata switch to stricter pandemic protocol,1
20-04-2021,"Sensex tanks 883 pts to over 2-mth low on lockdown fears, Rupee nears 75/$",0
22-04-2021,"In a first, Tata Steel uses blockchain for trade finance",1
26-04-2021,Shapoorji Pallonji files for review of SC judgment in Tata case,1
28-04-2021,SC’s Tata ruling has patent errors: SP’s review plea,1
29-04-2021,"In pandemic year, over 25k kids out of school in Maharashtra",1
29-04-2021,"Sensex jumps 1,800 pts in 3 days as RIL, banks gain",2
01-05-2021,"Pandemic rip-off: Rs 82,000 charge for 7km ambulance ride in Hyderabad",1
01-05-2021,"Sensex tanks 984 points on virus spread, lockdowns",0
02-05-2021,"Lucknow: Pandemic snuffs out 34 in 24 hours, 3,000 fresh Covid cases",0
03-05-2021,Impact of pandemic curbs: 40% transport vehicles off roads in Gujarat,1
04-05-2021,"Covid-19: Daily toll at 448, highest since pandemic hit Delhi",0
06-05-2021,"Bank, pharma stocks lift sensex by 424 pts",2
06-05-2021,Tata Steel calls off sale of SE Asian biz,1
07-05-2021,Traders irked as NDMC hikes licensing fees by 10% amid pandemic,1
07-05-2021,"Gujarat: In pandemic year, SEZs see 19% dip in exports",1
10-05-2021,Decoding oxygen therapy during the COVID pandemic,1
11-05-2021,Pandemic fear hits vehicle sales in Apr,0
12-05-2021,"Plagued by uncertainty, people battle pandemic fatigue",1
12-05-2021,Thalassemia patients face shortage of blood donors amid pandemic,1
12-05-2021,Pledged BSE 500 stocks’ value shrinks to Rs 1.6 lakh crore,0
13-05-2021,Covid-19: Pandemic triggers mental disorders but insurance eludes many,1
15-05-2021,Covid-19: Karnataka sees 7 deadliest days of the pandemic,0
16-05-2021,Tata Memorial Centre gives 92 O2 concentrators to Admin,1
16-05-2021,"After US exit, Afghan Prez wants Pak 'on board' to avoid civil war",1
17-05-2021,"Tata Steel’s e-sports camp begins today, will end on June 8",1
17-05-2021,Mumbai: Tata Memorial Centre gets 100 Mhada flats,1
17-05-2021,Andhra Pradesh’s energy consumption rises by 15% in May first fortnight despite pandemic,1
18-05-2021,"Over 1.7L kg Covid-19 waste in city last month, highest since pandemic began",2
18-05-2021,"Pandemic triggering panic attacks in teenagers, increased anxiety levels in adults, say Doon-based psychologists",1
18-05-2021,Sensex jumps 848 pts over drop in new Covid cases,2
18-05-2021,Wholesale Price Inflation soars to 11-yr high of 10.5% in April,0
18-05-2021,Vegetable prices skyrocket in Andhra Pradesh as traders cash in on pandemic,1
20-05-2021,Bombay HC stays axing of trees at Tata Garden for coastal road project,1
23-05-2021,Doctors flag mental health issues during pandemic,1
25-05-2021,Frontline rly staff worst hit in Covid pandemic,1
25-05-2021,"Inflation fears, weak dollar boost gold, silver prices",0
25-05-2021,BSE’s m-cap crosses $3 trillion as sensex hits 2-month high,2
27-05-2021,Sensex regains 51k level as new Covid cases drop,2
27-05-2021,LGBTQ counsellor helps people fight the war with their minds,1
27-05-2021,President Ramnath Kovind appoints BSE CEO Ashish Chauhan as Allahabad University Chancellor,1
29-05-2021,"TPR drops to 4.15% in 4th week of May, lowest in pandemic",1
29-05-2021,"With pandemic pinching the wallet, used cars gear up for sales spurt",1
29-05-2021,"Nifty hits record high of 15,436 as RIL jumps 6%",2
29-05-2021,Tata Digital acquires majority in BigBasket,2
30-05-2021,Resident doctors seek fee-waiver owing to pandemic,1
02-06-2021,Patna HC seeks to know Bihar govt’s plans to face third wave of pandemic,1
03-06-2021,"Uttar Pradesh stock on bull run, clocks second highest rise in BSE investors",2
05-06-2021,"Sensex falls marginally, 10-year yield unchanged",0
05-06-2021,Govt releases Rs 330cr for poor hit by pandemic,1
05-06-2021,"Uttar Pradesh got Rs 66,000 crore investment proposals during pandemic",1
06-06-2021,Tata Steel Foundation signs MoU with TERI for green school project,1
07-06-2021,Pandemic draw: Groundwater table hits new lows in Hyderabad,1
08-06-2021,The Chennai Angels invests Rs 2.6 crore in Blaer Motors,1
08-06-2021,Mumbai: Tata gives push to green energy,2
08-06-2021,Minister Michael Lobo for ban on nightlife in Goa until pandemic eases,1
15-06-2021,"Retail inflation hits 6-month high, WPI at record 12.9%",0
16-06-2021,Pandemic helps diversify India’s startup ecosystem,1
16-06-2021,Sensex nears 53k on FPI buying spree,2
17-06-2021,"US Federal Reserve signals rate hikes for 2023 as inflation rises, virus fades",1
17-06-2021,"Tata Motors yet to name new CEO, Butschek to get extension?",1
19-06-2021,"Bengaluru: Pandemic & petrol price rise deal double blow to poor, middle class",0
20-06-2021,Online petition seeks naming Navi Mumbai airport after JRD Tata,1
20-06-2021,Pandemic dents real estate project registrations in Gujarat,1
20-06-2021,47 cases of Delta variant detected at Tata hospital in Jamshedpur,0
21-06-2021,50% oral cancer patients die within a year: Tata study,1
22-06-2021,"Chandigarh: Earnings down 90%, pandemic bleeds men in red",1
22-06-2021,"Sensex vaults 889 pts from day’s low to end at 52,574",0
24-06-2021,"Cost of oral cancer treatment is rising steadily, warns Tata Memorial Centre’s study",1
24-06-2021,Mumbai: 100 flats allotted to Tata Cancer hospital in Dadar building,1
26-06-2021,UN envoy calls for new international talks on Syrian war,1
29-06-2021,Registration of estate agents up 24% in pandemic times,1
29-06-2021,"80% of Mumbai exposed, third wave may not be too large: Tata Institute of Fundamental Research",1
30-06-2021,East corpn not to charge fees from weekly market vendors due to pandemic,1
30-06-2021,Sastra university ties up with Tata Electronics to offer two-year M.Tech in VLSI design,1
01-07-2021,"Ratan Tata makes AGM cameo, lauds Tata Steel management",1
01-07-2021,Mumbai: PIL against Tata Garden tree-cutting dismissed,1
02-07-2021,Sales in automobile sector down by over 60% in Patna,0
06-07-2021,Sensex closes at record high as Covid cases dip,2
06-07-2021,BMC officials turn up for dialogue at late-night Tata Gardens protest,1
06-07-2021,"Costs up, profits down for MSMEs: Inflation survey",1
06-07-2021,Gujarat: Gold smuggling down 83% in pandemic year,1
07-07-2021,Tata Steel sees 73% of business from India over 10 years,2
07-07-2021,IB results better than last year’s despite pandemic,1
15-07-2021,"Tata Motors launches XPRES brand for fleet segment, to launch e-Tigor variant XPRES-T",2
15-07-2021,Manasi Tata joins Toyota Kirloskar Motor as director,1
17-07-2021,Uttar Pradesh: Pandemic 2020 saw rise in Dakshinanchal Vidyut Vitran Nigam Limited power defaulters to 17 lakh,1
18-07-2021,"Chandigarh Congress slams govt for rising fuel prices, inflation",1
19-07-2021,Cancer ops delayed due to pandemic,1
25-07-2021,SC tells Maharashtra govt to consider a 15% cut in school fees due to pandemic,1
27-07-2021,Tata Motors nearly halves April-June loss to Rs 4.5k cr,2
31-07-2021,"100% renewable target achieved in Delhi, says Tata Power",2
01-08-2021,City rides out a pandemic,1
02-08-2021,Andhra Pradesh to introduce revolutionary method in agricultural motors,1
04-08-2021,59% of people in 5 districts feel pandemic is over: Survey,1
04-08-2021,Family of 1962 war hero still waiting for their dues,1
04-08-2021,Sensex nears 54k as lockdown rules ease,2
04-08-2021,Sensex nears 54k as lockdown rules eased,2
05-08-2021,"Robust infrastructure ready to tackle pandemic surge, says Uttar Pradesh health minister Jai Pratap Singh",1
05-08-2021,Sensex hits 54k for 1st time as China-wary FPIs bet on India,2
07-08-2021,Tata Adv Systems to make fan cowls for Boeing 737,1
07-08-2021,RBI sees inflation rising but holds rates to fuel growth,1
08-08-2021,Tokyo Olympics 2020: Japan to douse flame of Games transformed by pandemic and drama,1
10-08-2021,"You can soon buy Google, Apple shares on NSE IFSC",2
10-08-2021,Delhi: Job loss during pandemic led many to beg,0
10-08-2021,Telangana: 160 private junior colleges shut shop amid pandemic this academic year,1
12-08-2021,"BSE eases plan to stem mid-, small-cap risk, mkts rebound",1
13-08-2021,Sensex nears 55k on global cues,2
13-08-2021,"Retail inflation at 3-month low in July, June factory output up 13.6%",1
13-08-2021,"New Uttar Pradesh companies to get priority in BSE, NSE listings",1
13-08-2021,Tata Steel appoints Khambata on board,1
14-08-2021,Premier Explosives begins shipping rocket motors to Israel,1
14-08-2021,India can emerge as global tech leader: Tata Sons chairman,1
14-08-2021,"Sensex surges 7,700 points in 7 months to scale 55k peak",2
16-08-2021,"WPI inflation eases to 11.16% in July; food, crude prices soften",2
16-08-2021,"Sensex, Nifty unchanged as metals offset losses in energy stocks",1
16-08-2021,Karnataka: Farmers fear pandemic could wipe off smiles floriculture gave them,1
16-08-2021,NSE records over 50 lakh new investors since April,2
19-08-2021,"Sensex hits 56k, but ends lower",0
20-08-2021,"Karvy scam: 1,300 Hyderabad clients complained to NSE",1
21-08-2021,Sensex slides on taper talks,0
25-08-2021,Tata foundation rolls out trekking expeditions to Ladakh,1
26-08-2021,Pandemic worsens fund woes of Madurai corpn’s first shelter,1
26-08-2021,Tata Sons FY21 profit up over 2x on TCS buyback,2
27-08-2021,"Govt to announce PLI scheme for automobile sector, allocate Rs 57,000 cr",2
28-08-2021,Corneal transplants down by 52% as eye donations hit by pandemic,1
28-08-2021,"Sensex closes above 56k on eco outlook, rupee strength",2
29-08-2021,Govt school teachers are the unsung warriors of this pandemic,1
31-08-2021,"Sensex, Nifty hit records on dovish US Fed comments",2
01-09-2021,"Bull run: Another day of sensex, Nifty highs",2
01-09-2021,UP economy on fast track despite pandemic jolts,1
03-09-2021,Pandemic boosted e-transactions in a way even demonetization couldn’t,1
03-09-2021,"Gautam Navlakha will be taken to Tata hospital for tests, Bombay HC told",1
04-09-2021,"Sensex breaches 58,000 on RIL push",2
05-09-2021,New school of thought! Teachers in Maharashtra take education to poor kids in pandemic,1
05-09-2021,Mumbai: New school of thought! Teachers take edu to poor kids in pandemic,1
10-09-2021,"Mumbai: Tata Power, Lodha plan charging stations",1
11-09-2021,Pandemic Hurts Poor Kids’ Chances To Study,1
13-09-2021,"Mumbai: Tata Memorial Centre sees shortage of blood, asks for donations",1
15-09-2021,NSE probes freak F&O trades,1
16-09-2021,"Tata Sons, group led by SpiceJet chief bid for Air India",2
16-09-2021,Gujarat: Cyber crimes spiked 64% during Covid-19 pandemic,1
16-09-2021,Tata Consumer Products to ink MoU with IIMR,1
16-09-2021,Tata Sons denies management rejig plan,1
17-09-2021,Pune: Wada occupants try to hold on to traditions during pandemic,1
17-09-2021,Inflation seen easing to 4% by FY24: RBI deputy governor,2
18-09-2021,Pandemic fear: College hostels in Coimbatore under scanner,1
20-09-2021,Justin Trudeau future on the line as Canadians vote in pandemic election,1
20-09-2021,Mega war on vector-borne diseases today in Ahmedabad,1
21-09-2021,Pandemic study reveals lack of trained health personnel,1
22-09-2021,Army expedition to mark golden jubilee of 1971 war,1
22-09-2021,21L new investors on BSE in a year,2
23-09-2021,Pakistan PM Imran Khan warns of a civil war in Afghanistan,1
24-09-2021,US Fed’s clarity on tapering takes sensex close to 60k,2
25-09-2021,"Mumbai: Tata Power installs 20,000 smart meters, eyes 1 lakh by 2023",1
25-09-2021,Sensex at sixty,2
25-09-2021,HC allows 40% discount to girl who can’t pay school fee due to pandemic,1
25-09-2021,Sensex at sixty,2
28-09-2021,Mumbai: Number of elderly ending lives soars 31% in pandemic year,1
29-09-2021,"If US had kept 2,500 troops in Afghanistan, war would result: White House",1
01-10-2021,"Army team completes 1,300 km cycleexpedition to mark 1971 war win",1
01-10-2021,"New water pipelines, motors to boost supply in Dhayari, Raikar Mala",1
01-10-2021,Tata Steel sells Singapore unit NatSteel,2
01-10-2021,"Toddlers at home, 70% preschools shut down during pandemic in Ahmedabad",1
04-10-2021,"Isro commercial arm NSIL to launch first ‘demand-driven’ satellite, will lease it to Tata Sky",1
04-10-2021,Maharashtra: Rs 41 crore pandemic aid given to 66k construction site workers,1
07-10-2021,"Bengaluru: Diesel closes in on Rs 100/litre, transporters warn of inflation",0
07-10-2021,"Rising crude gives markets jitters, pulls sensex down, rupee near 6-month low of Rs 75 per dollar",0
07-10-2021,Pandemic could have long-term impact on kids’ mental health,1
08-10-2021,Tata Motors to raise $1 billion to push EV play,2
09-10-2021,Prashant Kishor’s tweet sparks war of words between TMC & Congress,1
09-10-2021,Tata companies add Rs 1 lakh crore mcap since mid-September,2
09-10-2021,Tata cos add Rs 1L cr mcap since mid-Sept,2
10-10-2021,Praful Patel hails move to sell AI to Tata,2
10-10-2021,Pandemic forced lakhs to seek mental health support in Maharashtra,1
10-10-2021,"Tata Power warns Delhi of outages, cites coal shortage",1
11-10-2021,RK Singh reads the riot act to Tata Power on blackout bogey,1
12-10-2021,"Nifty vrooms past 18k for 1st time on auto, power stocks, ends lower",2
12-10-2021,Arthritis complications see rise after let-up in pandemic,1
12-10-2021,Admin takes steps to ensure safe puja amid pandemic,1
12-10-2021,"Citing pandemic losses, many traders stay open in Aurangabad",1
13-10-2021,"Retail inflation at 5-month low in September, IIP up 11.9% in August",2
14-10-2021,"After Ladakh, India-China war of words on Naidu’s Arunachal trip",0
14-10-2021,"E-surge for Tata stocks, sensex at new peak too",2
14-10-2021,Kolhapur: MSRTC union blames salary delays as 24th staffer ends life since pandemic,1
14-10-2021,"Delhi: With pandemic in lead role, dhakis miss the beat for another season",1
15-10-2021,Sensex goes past 61k as festive mood grips D-St,2
15-10-2021,Mumbai: When will the Covid pandemic evolve to being endemic,1
15-10-2021,Sensex goes past 61k as festive mood grips D-St,2
15-10-2021,September wholesale inflation dips to 6-month low,2
16-10-2021,"The pandemic was challenging both emotionally and financially, says Rohit Khurana",1
16-10-2021,Childline sees rise in complaints directly from kids since start of pandemic,1
19-10-2021,Tata AIG rolls out drone insurance,1
19-10-2021,"Sensex up for 7th day, nears 62k",2
20-10-2021,No new daily Covid cases for first time in pandemic in Vadodara,2
20-10-2021,"Sawant, Aleixo in war of words over forensic univ land",1
20-10-2021,"Sensex scales 62k on volatile day, gains 12k points in 9 months",2
20-10-2021,HUL’s Q2 profit rises 9% amid high inflation,1
21-10-2021,Pandemic hasn’t held these postal employees back from doing job,1
21-10-2021,Tatas to shift ready-to-eat biz to Tata Consumer,1
21-10-2021,Tatas to shift ready-to-eat biz to Tata Consumer,1
24-10-2021,Eye on Indo-Pacific: Indian & UK Navies in war games,1
24-10-2021,"Aides of Captain Amarinder, Sidhu in Twitter war over ex-CM’s Pakistan friend",1
25-10-2021,"Tatas Motors to invest Rs 15,000 crore in electric vehicles",2
25-10-2021,Maharashtra: College trustee donates Rs 50 lakh to Tata Hospital for flouting norms,1
26-10-2021,Mumbai: Tata crosses 1k EV charge points,2
29-10-2021,"Sensex crashes 1k points, below 60k",0
29-10-2021,Senior PI shunted for shielding goons in gang war,1
29-10-2021,Sensex crashes 1k pts on FPI selling,0
29-10-2021,Tata Motors launches 21 new models and variants as CV demand picks up after 2 years,2
